Genus_Species	Sex	brain_mass	body_mass
Cepphus_columba	f	3339	347501
Cepphus_grylle	f	3.10433E+14	4.22922E+14
Cepphus_grylle	m	3243	419493
Cerorhinca_monocerata	f	4384	535
Certhia_brachydactyla	m	459	87005
Certhia_familiaris	f	57	104
Certhia_familiaris	m	45	88
Certhia_familiaris	unknown	43	87
Ceyx_pictus	f	32	77
Chaimarrornis_leucocephalus	f	1	243
Chalcophaps_indica	f	7	576
Chalcophaps_indica	m	1005	1.05679E+14
Chalcopsitta_atra	m	5335	240153
Chalcopsitta_duivenbodei	m	528	1813
Chalcopsitta_sintillata	f	4581	145007
Charadrius_alexandrinus	m	893	37294
Charadrius_dubius	f	732	41522
Charadrius_dubius	m	824	39276
Charadrius_leschenaultii	f	1235	78425
Charadrius_semipalmatus	f	8025	361125
Charadrius_vociferus	unknown	122	88
Charmosyna_papou	f	297	715
Chloropsis_cochinchinensis	f	89	226
Chloropsis_cyanopogon	m	68	165
Chloropsis_hardwickii	m	8	263
Chloropsis_sp.	f	72	212
Chrysolophus_amherstiae	m	3.62967E+14	7.43667E+14
Chrysolophus_pictus	f	3136	342334
Chrysolophus_pictus	m	3.36667E+14	6.86533E+14
Ciconia_abdimii	m	73	950
Ciconia_ciconia	f	1578	3334
Ciconia_ciconia	m	1.52653E+14	3.25333E+14
Cinclidium_leucurum	m	6375	2224
Cinclus_cinclus	f	13895	54625
Cinclus_cinclus	m	92	72
Cinnyricinclus_leucogaster	f	896	2758
Cinnyricinclus_leucogaster	m	904	33986
Circus_aeruginosus	f	5347	335
Circus_aeruginosus	m	5786	5425
Cissa_chinensis	m	42	1157
Cissa_thalassina	f	35	866
Clangula_hyemalis	m	45936	77366
Coccothraustes_coccothraustes	f	15678	555062
Coccothraustes_coccothraustes	m	160824	5406244
Coccycolius_iris	f	1324	3052
Coereba_flaveola	m	4.73333E+14	952
Colaptes_campestris	m	367	1824
Colaptes_melanochloros	f	27	1191
Colibri_thalassinus	m	19	548
Colinus_cristatus	f	1	1227
Colinus_virginianus	f	1241	1201
Colinus_virginianus	m	11877	1177971
Colinus_virginianus	unknown	12	1.43817E+14
Colius_striatus	m	11475	53525
Columba_livia	f	2285	247
Columba_livia	m	2351	272435
Columba_oenas	f	2146	222409
Columba_oenas	m	2266	340261
Columba_palumbus	f	23575	4.0253E+14
Columba_palumbus	m	2486125	499545125
Columbina_cruziana	f	52	497
Columbina_passerina	m	54	424
Copsychus_malabaricus	m	765	2.42467E+14
Copsychus_malabaricus	unknown	9	196
Coracias_caudatus	f	265	835
Coracias_caudatus	m	2338	110473
Coracopsis_nigra	m	485	1137
Corvus_brachyrhynchos	f	6199	2552935
Corvus_brachyrhynchos	m	93	337
Corvus_brachyrhynchos	unknown	8225	3.75533E+14
Corvus_corax	f	1.33933E+14	1.13667E+14
Corvus_corax	m	158614	1393
Corvus_corone	f	8.25676E+14	4.94465E+14
Corvus_corone	m	8.82217E+14	5.76533E+14
Corvus_frugilegus	f	7488	4.81029E+14
Corvus_frugilegus	m	8248	57425
Corvus_monedula	f	4236125	189685375
Corvus_monedula	m	4.79086E+14	236332
Corvus_monedula	unknown	535	147
Coryphospingus_cucullatus	f	602	14887
Coryphospingus_cucullatus	m	654	125315
Corythaixoides_leucogaster	m	3091	26236
Cossypha_niveicapilla	m	95	318
Coturnix_chinensis	unknown	42	37
Coturnix_coturnix	f	88	1207
Coturnix_delegorguei	f	62	62363
Crex_crex	f	1154	137396
Crex_crex	m	126	1338
Crinifer_piscator	f	423	3462
Crossoptilon_crossoptilon	f	5238	1820
Crossoptilon_mantchuricum	f	5164	1700
Crotophaga_ani	f	1458	73095
Cryptospiza_reichenovii	m	5.89333E+14	10933
Crypturellus_parvirostris	f	165	1797
Crypturellus_tataupa	m	125	215
Cuculus_canorus	f	1421	925295
Cuculus_canorus	m	15	1.18633E+14
Cyanerpes_caeruleus	f	468	1005
Cyanerpes_caeruleus	m	48	94
Cyanerpes_cyaneus	m	4445	10605
Cyanocitta_cristata	unknown	3	777
Cyanocorax_beecheii	m	3219	13083
Cyanocorax_luxuosus	unknown	24	5225
Cyanocorax_yncas	m	23795	560955
Cyanoliseus_patagonus	f	75	2263
Cyanopica_cyanus	f	206	676
Cyanoramphus_auriceps	m	2865	49775
Cyanoramphus_novaezelandiae	m	286	654
Cyclopsitta_diophthalma	m	1939	36337
Cygnus_columbianus	f	1775	6000
Cygnus_columbianus	m	17896	5000
Cygnus_olor	m	15432	9000
Cygnus_olor	unknown	145	552825
Cyornis_hainanus	m	68	298
Dacelo_novaeguineae	f	43035	3395
Dacelo_novaeguineae	m	41005	374837
Dacelo_novaeguineae	unknown	447	210
Dacnis_cayana	f	52	1295
Dacnis_cayana	m	39	133
Delichon_urbicum	m	582	1.81207E+14
Dendrocopos_macei	m	1656	36467
Dendrocopos_major	f	2.62289E+14	8.34334E+14
Dendrocopos_major	m	2.75987E+14	812194
Dendrocopos_medius	m	179	56062
Dendrocygna_bicolor	m	4737	4875
Dendroica_coronata	f	468	12392
Dendroica_coronata	m	498	12472
Deroptyus_accipitrinus	m	89	2326
Dicrurus_macrocercus	f	99	306
Dinemellia_dinemelli	f	142	447
Dinemellia_dinemelli	m	205	613
Dinopium_javanense	f	23	575
Diopsittaca_nobilis	f	5078	118873
Dryocopus_martius	f	734	2796
Dumetella_carolinensis	f	1412	33
Eclectus_roratus	f	68645	3851045
Eclectus_roratus	m	7791	352492
Egretta_caerulea	unknown	374	28975
Egretta_tricolor	unknown	345	3245
Emberiza_aureola	m	71	1712
Emberiza_cioides	m	632	17685
Emberiza_cirlus	m	733	16653
Emberiza_citrinella	f	7.60864E+14	2.81159E+14
Emberiza_citrinella	m	7.71333E+14	2.79796E+14
Emberiza_elegans	m	65	113
Emberiza_flaviventris	m	59	16212
Emberiza_flaviventris	unknown	49	14664
Emberiza_melanocephala	m	731	26661
Emberiza_rutila	f	491	18623
Emberiza_rutila	m	56	158
Emberiza_schoeniclus	f	75	201
Emberiza_schoeniclus	m	645	208
Emberiza_tristrami	f	6	13335
Embernagra_platensis	f	1116	29281
Embernagra_platensis	m	103	291
Emblema_pictum	f	4165	12274
Enicognathus_ferrugineus	m	508	1002
Enicognathus_leptorhynchus	f	62	2367
Enicognathus_leptorhynchus	m	79	2232
Eos_cyanogenia	m	4607	144876
Eos_squamata	m	417	1125
Eremophila_bilopha	m	93	244
Eremopsaltria_mongolicus	m	666	1745
Erithacus_rubecula	f	5.76176E+14	1.74284E+14
Erithacus_rubecula	m	6.17038E+14	1.76752E+14
Erithacus_rubecula	unknown	6948	153452
Erpornis_zantholeuca	m	455	13783
Erythrura_coloria	m	45	117
Erythrura_gouldiae	f	4.36333E+14	1.23543E+14
Erythrura_gouldiae	m	464	1.27636E+14
Erythrura_hyperythra	m	4	1305
Erythrura_prasina	m	5.83333E+14	1.44407E+14
Erythrura_psittacea	m	502	10916
Estrilda_caerulescens	f	41	71
Estrilda_melanotis	m	38	49
Estrilda_troglodytes	f	35	53
Eumyias_thalassinus	m	5445	113505
Eunymphicus_cornutus	f	2886	66218
Euplectes_afer	m	677	12811
Euplectes_franciscanus	m	6.69429E+14	11934
Euplectes_macroura	m	18	17
Euschistospiza_dybowskii	m	4.96667E+14	9.80367E+14
Falco_columbarius	f	3288	224745
Falco_peregrinus	f	6788	989
Falco_sparverius	m	251	112
Falco_sparverius	unknown	275	75
Falco_tinnunculus	f	3.76762E+14	2.09366E+14
Falco_tinnunculus	m	3.80526E+14	1.69673E+14
Falco_tinnunculus	unknown	3.71167E+14	2.2435E+14
Ficedula_hypoleuca	f	4255	13848
Ficedula_hypoleuca	m	4266	125212
Ficedula_zanthopygia	m	484	87805
Forpus_coelestis	f	1198	27809
Forpus_coelestis	m	1124	21938
Forpus_conspicillatus	m	11	2055
Forpus_cyanopygius	f	138	138
Forpus_passerinus	f	1	263
Forpus_passerinus	m	103	214
Forpus_xanthops	m	13	207
Forpus_xanthopterygius	m	1015	2565
Francolinus_sephaena	m	15	208
Fratercula_arctica	f	42	3185
Fratercula_arctica	m	3725	384
Fregata_aquila	m	945	1405
Fringilla_coelebs	f	7.01774E+14	2.29853E+14
Fringilla_coelebs	m	7.42174E+14	2.4174E+14
Fringilla_montifringilla	f	7.49571E+14	2.42951E+14
Fringilla_montifringilla	m	7532	2.59895E+14
Fringilla_montifringilla	unknown	597	259855
Fulica_atra	f	30286	5838008
Fulica_atra	m	3.43617E+14	7335
Fulmarus_glacialis	m	5639	590
Furnarius_rufus	f	13	625
Furnarius_rufus	m	135	637
Galerida_cristata	f	1007	42593
Galerida_cristata	m	1115	419
Galerida_theklae	m	92	351
Gallicolumba_rufigula	f	1132	8325
Gallinago_gallinago	f	143011	1137957
Gallinago_gallinago	m	1245	9685
Gallinago_media	f	1758	138621
