"pop","patch","ASD","GAD","GSD","LBL","LBW","UBL","UBW","GW","GA"
"S1","J",0.88,4.33,4.03666666666667,21.63,20.46,19.73,20.62,5.89,18.05285
"S1","J",5.21,5.06,4.63,15.25,16.66,14.68,16.27,6.99,27.78525
"S1","J",1.72,5.92,4.64333333333333,21.73,22.65,21.52,21.39,6.53,18.70845
"S1","J",2.38,5.25,4.66333333333333,21.08,19.61,19.5,19.84,7.21,24.514
"S1","K",3.54,4.93,5.17,15.05,15.86,13.68,15.42,6.64,24.3356
"S1","K",0.6,5.37,5.31666666666667,20.59,21.62,17.09,18.84,5.88,16.464
"S1","L",3.83,4.07,5.57333333333333,21.81,19.84,19.18,18.68,6.41,20.1274
"S1","L",2.03,3.02,3.23,15.21,16.69,14.99,15.69,5.74,14.5222
"S1","L",4.89,3.58,4.80333333333333,20.3,20.79,18.78,19.21,6.66,21.978
"S1","L",2.12,4.26,4.99333333333333,16.39,16.85,15.28,16.58,5.94,19.8693
"S1","L",1.66,3.4,3.51333333333333,14.42,13.5,13.12,12.94,5.33,14.8174
"S1","M",2.9,3.9,4.11666666666667,19,18.14,16.89,17.1,6.71,19.8616
"S1","M",2.55,3.72,3.57333333333333,15.72,16.23,14.71,14.68,5.78,18.0914
"S1","M",1.83,2.86,4.09,15.61,15.77,13.45,14.68,5.63,15.2573
"S1","N",4.29,4.5,4.87333333333333,17.78,17.89,16.79,17.13,6.8,18.292
"S1","O",1.4,4.85,4.66,20.3,17.7,18.35,17.26,6.06,19.3314
"S1","P",2.86,6.29,4.61,16.88,16.92,16.22,16.03,5.75,18.63
"S8","A",4.75,7.35,5.14666666666667,22.91,24.29,22.49,24.92,9.98,38.423
"S8","B",4.98,5.49,4.64333333333333,18.56,19.63,18.88,21.01,8.56,28.9328
"S8","C",4.65,5.46,5.48666666666667,24.43,28.26,24.35,25.55,8.5,33.915
"S8","D",3.59,4.86,4.43333333333333,19.9,20.59,19.51,20.48,6.82,23.5972
"S8","E",4.75,6.01,4.32333333333333,18.59,18.37,17.31,16.68,6.74,18.8046
"S8","F",6.52,6.53,6.13666666666667,24.7,23.43,23.14,23.81,9.15,33.7635
"S8","G",1.87,6.06,5.36666666666667,20.37,20.53,17.88,18.09,7.68,23.808
"S7","A",4.25,4.01,4.49666666666667,17.5,17.4,15.51,16.11,6.34,18.6079
"S7","B",3.47,4.52,5.15333333333333,20.1,19.28,18.43,17.37,6.57,21.51675
"S7","C",3.26,6.37,4.87666666666667,19.52,17.19,20.87,18.43,7.05,21.53775
"S7","C",4.14,5.61,5.1,17.95,16.06,17.1,15.35,6.55,20.6325
"S7","C",3.13,4.44,5.43,21.97,17.81,20.98,18.37,6.9,16.7325
"S7","C",4.25,3.46,4.60666666666667,17.48,16.38,16.81,16.39,6.48,19.6668
"S7","C",5.66,4.99,3.96333333333333,15.66,14.58,16.35,14.51,6.39,20.47995
"S7","C",3.86,4.74,4.38666666666667,16.9,15.21,16.48,15.09,6.11,17.19965
"S7","D",4.14,5.44,5.74333333333333,26,28.34,23.61,26.91,9.4,41.971
"S7","D",3.44,4.66,4.94666666666667,19.93,21.65,18.76,21.21,7.97,27.9747
"S7","D",4.53,4.1,5.57,21.74,22.92,19.41,22.11,8.47,30.7461
"S9","A",4.78,5.94,6.03,25.83,26.02,23.35,24.62,8.57,33.5944
"S9","A",3.36,6.85,6.7,26.87,25.4,25.48,26.89,8.47,34.34585
"S9","B",4.85,6.09,3.93666666666667,22.72,23.64,22.94,23.05,6.62,19.3304
"S9","B",4.7,4.83,4.00666666666667,23.85,24.67,20.66,21.44,6.41,17.53135
"S9","B",5.2,5.98,4.55,21.07,21.97,20.7,22.14,6.9,25.2885
"S9","B",4.87,5.67,4.44666666666667,21.75,21.84,19.77,20.28,7.31,25.8774
"S9","B",4.36,4.86,4.25,19.07,18.34,18.57,18,5.88,16.1406
"S9","B",4.2,5.64,4.21333333333333,21.23,20.89,20.14,20.44,6.86,22.295
"S9","B",4.47,5.69,4.39333333333333,22.45,22.04,20.98,21.08,6.64,21.8456
"S9","B",5.01,5.29,4.6,24.37,25.54,21.46,22.95,7.53,25.9785
"S8","H",4.77,5.83,5.70333333333333,20.51,21.47,18.64,23.27,10.06,48.1874
"S8","I",5.5,6.91,5.25,22.07,21.15,21.29,21.62,9.44,43.424
"S8","J",3.27,5.22,4.53666666666667,21.2,19.23,20.33,20.19,6.97,23.87225
"S8","K",6.62,3.59,4.49,14.62,14.22,15.12,14.98,4.28,14.5306
"S8","L",4.09,5.71,4.97333333333333,18.73,17.43,16.98,18.45,7,24.36
"S8","M",5.23,NA,6.06333333333333,NA,NA,27.6,27.07,9.23,39.73515
"S8","N",3.49,6.4,4.71,18.01,19.57,17.21,19.5,8.73,37.1025
"S8","O",4.76,6.97,4.91333333333333,19.46,19.64,18.3,19.28,7.88,32.7808
"S8","P",3.43,3.8,3.87,18.59,19.83,18.46,17.84,6.31,19.02465
"S7","F",3.05,4.8,5.11666666666667,15.84,18.26,17.29,17.84,7.09,19.88745
"S7","F",1.55,5.48,4.60333333333333,19.48,15.34,17.75,16.37,6.77,16.3834
"S7","F",3.06,5.48,6.25333333333333,20.36,17.45,20.17,18.11,6.66,18.4815
"S7","F",3.62,3.9,4.70333333333333,17.84,18.46,16.83,17.56,7.45,21.49325
"S7","G",5.39,3.62,4.68333333333333,19.41,20.06,18.47,19.01,7.94,28.8619
"S7","G",3.35,2.62,4.95666666666667,18.84,20.08,16.3,17,7.93,27.87395
"S7","G",2.59,4.15,4.59,19.98,19.74,17.97,18.2,6.89,23.11595
"S7","H",4.95,4.69,4.70333333333333,15.85,15.48,13.18,14.29,7.53,29.9694
"S7","H",6.22,5.18,6.32666666666667,28.15,26.17,23.24,23.39,8.73,34.6581
"S7","D",5.42,4.8,6.79666666666667,NA,26.6,27.55,27.31,8.52,34.8042
"S7","I",4.05,4.01,5.11333333333333,21.35,23.25,19.82,23.31,7.79,26.1744
"S7","J",2.65,4.56,4.84666666666667,20.82,20.15,18.4,18.51,6.1,14.9755
"S7","F",3.94,4.55,5.06333333333333,17.64,15.63,18.08,16.45,6.29,16.2282
"S7","F",3.93,4.93,5.04666666666667,20.43,17.61,19.07,17.85,6.41,16.025
"S2","A",5.11,4.02,4.8,19.81,21.18,19.48,21.98,7.04,24.7104
"S2","B",3.09,4.7,4.94,16.89,18.51,16.54,18.79,7.12,24.1012
"S2","B",3.38,4.39,5.57,18.78,21.14,17.47,19.79,7.82,26.0797
"S2","C",3.29,5.17,6.06,19.66,21.48,20.02,20.85,8.01,32.32035
"S2","D",4.32,5.43,4.84333333333333,15.77,16.81,15.16,16.09,7.01,23.133
"S2","E",4.35,4.35,4.38666666666667,19.63,20.13,18.77,21.42,7.72,23.5074
"S2","F",3.72,4.48,4.01,16.11,17.36,15.64,15.74,5.49,15.23475
"S2","G",5.62,4.01,4.55333333333333,17.06,16.65,15.74,15.47,7.16,25.5254
"S2","H",2.93,4.02,4.84,16.68,18.86,14.78,18.08,6.88,20.124
"S2","I",5.87,4.59,5.56666666666667,20.34,20.41,19.51,19.34,7.06,25.8749
"S2","J",3.13,4.67,5.74,21.81,22.3,19.39,21.49,8.13,30.3249
"S2","K",3.46,4.73,4.23666666666667,18.97,18.47,15.69,17.4,5.82,16.7616
"S2","L",2.74,6.22,5.43,23.1,26.54,19.79,24.2,8.7,35.4525
"S2","M",3.11,4.4,5.12666666666667,18.2,21.39,16.98,20.36,8.23,28.84615
"S20","1",3.38,6.64,4.94666666666667,16.75,17.71,19.12,19.18,7.22,27.1833
"S20","3",2.63,5.87,5.57333333333333,NA,19.2,21.45,19.74,7.77,31.08
"S20","3",7.7,7.92,5.69,NA,NA,17.66,18.06,8.98,36.2792
"S20","3",7.47,6.23,4.65,18.97,17.59,18.31,18.21,7.66,26.6951
"S20","2",6.03,6.13,5.41666666666667,23.68,23.67,22.52,22.11,8.32,35.0272
"S20","2",4.71,6.54,5.02666666666667,24.58,25.6,24.69,24.49,8.62,37.6694
"S20","1",7.18,5.87,5.14333333333333,25.11,23.31,24.3,22.73,8.71,39.5434
"S20","1",6.3,6.37,4.50333333333333,26.03,25.37,26.03,22.8,10.31,49.95195
"S20","1",7.77,3.92,NA,NA,NA,NA,NA,7.39,27.60165
"S20","1",NA,NA,4.82666666666667,19.78,19.44,17.82,16.95,6.45,20.86575
