"Population","Mother","Cross_id","Block","Treatment","newseedsize","Germinated"
"LM","6.3x3.4A","LM_40","3",3.5,-0.0103146853146852,0
"LM","6.3x3.4A","LM_40","3",7,-0.020314685314685,0
"LM","6.3x3.4A","LM_40","3",14,-0.100314685314685,0
"LM","6.3x3.4A","LM_40","3",28,0.00968531468531478,0
"LM","6.3x3.4A","LM_40","3",56,-0.120314685314685,0
"LM","13.3x10.1A","LM_41","4",3.5,0.309685314685315,0
"LM","13.3x10.1A","LM_41","4",7,0.259685314685315,0
"LM","13.3x10.1A","LM_41","4",14,0.289685314685315,0
"LM","13.3x10.1A","LM_41","4",28,0.249685314685315,0
"LM","13.3x10.1A","LM_41","4",56,0.249685314685315,0
"LM","13.3x10.1A","LM_41","4",112,0.289685314685315,0
"LM","19.4x8.4A","LM_42","4",3.5,0.0296853146853148,0
"LM","19.4x8.4A","LM_42","4",7,-0.0703146853146853,0
"LM","19.4x8.4A","LM_42","4",14,0.019685314685315,0
"LM","19.4x8.4A","LM_42","4",28,0.019685314685315,0
"LM","19.4x8.4A","LM_42","4",56,0.0296853146853148,0
"LM","19.4x8.4A","LM_42","4",112,-0.120314685314685,0
"LM","15.4x3.4A","LM_43","4",3.5,-0.0803146853146851,0
"LM","15.4x3.4A","LM_43","4",7,-0.0603146853146851,0
"LM","15.4x3.4A","LM_43","4",14,0.0796853146853151,0
"LM","15.4x3.4A","LM_43","4",28,-0.110314685314685,0
"LM","15.4x3.4A","LM_43","4",56,-0.110314685314685,0
"LM","15.4x3.4A","LM_43","4",112,0.00968531468531478,0
"LM","19.4x18.3A","LM_44","4",3.5,-0.0603146853146851,0
"LM","19.4x18.3A","LM_44","4",7,-0.0803146853146851,0
"LM","19.4x18.3A","LM_44","4",14,-0.0503146853146853,0
"LM","19.4x18.3A","LM_44","4",28,-0.0303146853146852,0
"LM","19.4x18.3A","LM_44","4",56,-0.040314685314685,0
"LM","19.4x18.3A","LM_44","4",112,-0.0703146853146853,0
"LM","9.3x12.4","LM_45","4",3.5,-0.0703146853146853,0
"LM","9.3x12.4","LM_45","4",7,-0.100314685314685,0
"LM","9.3x12.4","LM_45","4",14,-0.0503146853146853,0
"LM","9.3x12.4","LM_45","4",28,-0.0803146853146851,0
"LM","9.3x12.4","LM_45","4",56,-0.150314685314685,0
"LM","9.3x12.4","LM_45","4",112,-0.0303146853146852,0
"LM","3.3x9.3A","LM_46","4",3.5,0.109685314685314,0
"LM","3.3x9.3A","LM_46","4",7,0.189685314685314,0
"LM","3.3x9.3A","LM_46","4",14,0.139685314685315,0
"LM","3.3x9.3A","LM_46","4",28,0.139685314685315,0
"LM","3.3x9.3A","LM_46","4",56,0.149685314685314,0
"LM","3.3x9.3A","LM_46","4",112,0.129685314685315,0
"LM","18.3x8.4A","LM_47","4",3.5,-0.0903146853146853,0
"LM","18.3x8.4A","LM_47","4",7,-0.150314685314685,0
"LM","18.3x8.4A","LM_47","4",14,-0.140314685314685,0
"LM","18.3x8.4A","LM_47","4",28,-0.0503146853146853,0
"LM","18.3x8.4A","LM_47","4",56,-0.220314685314685,0
"LM","18.3x8.4A","LM_47","4",112,-0.220314685314685,0
"LM","5.3x12.4A","LM_48","4",3.5,0.039685314685315,0
"LM","5.3x12.4A","LM_48","4",7,0.119685314685315,0
"LM","5.3x12.4A","LM_48","4",14,0.019685314685315,0
"LM","5.3x12.4A","LM_48","4",28,0.00968531468531478,0
"LM","5.3x12.4A","LM_48","4",56,0.0696853146853148,0
"LM","5.3x12.4A","LM_48","4",112,0.109685314685314,0
"PM","01.02x16.03a","PM_1","1",3.5,0.0322966507177032,0
"PM","01.02x16.03a","PM_1","1",7,0.0322966507177032,0
"PM","01.02x16.03a","PM_1","1",14,0.042296650717703,0
"PM","01.02x16.03a","PM_1","1",28,-0.0277033492822964,0
"PM","01.02x16.03a","PM_1","1",56,0.0822966507177031,1
"PM","01.02x16.03a","PM_1","1",112,0.0322966507177032,0
"PM","01.02x16.03a","PM_2","1B",3.5,-0.137703349282297,0
"PM","01.02x16.03a","PM_2","1B",7,-0.0477033492822968,0
"PM","01.02x16.03a","PM_2","1B",14,-0.037703349282297,0
