sex	date	hornL	hornR	season	month	day	yr	daynr	age	cohort	mass	density
F	21/09/1983	213	218	1983	9	21	1983	264	10	1973	18.2708	low
M	21/09/1983	226	217	1983	9	21	1983	264	3	1980	27.4840	low
F	21/09/1983	190	200	1983	9	21	1983	264	3	1980	22.8742	low
F	21/09/1983	160	162	1983	9	21	1983	264	2	1981	23.5000	low
F	21/09/1983	132	138	1983	9	21	1983	264	1	1982	14.5938	low
F	23/09/1983	220	220	1983	9	23	1983	266	12	1971	28.0000	low
F	23/09/1983	181	181	1983	9	23	1983	266	4	1979	24.0000	low
M	24/09/1983	240	235	1983	9	24	1983	267	6	1977	33.0000	low
F	24/09/1983	166	161	1983	9	24	1983	267	2	1981	18.0000	low
M	24/09/1983	142	141	1983	9	24	1983	267	1	1982	15.5125	low
M	25/09/1983	221	214	1983	9	25	1983	268	4	1979	24.0000	low
F	26/09/1983	165	165	1983	9	26	1983	269	6	1977	20.1113	low
M	26/09/1983	228	228	1983	9	26	1983	269	5	1978	31.0000	low
F	26/09/1983	171	176	1983	9	26	1983	269	3	1980	22.0000	low
F	28/09/1983	200	200	1983	9	28	1983	271	5	1978	23.0000	low
M	28/09/1983	171	173	1983	9	28	1983	271	1	1982	21.0319	low
M	29/09/1983	147	144	1983	9	29	1983	272	1	1982	15.5125	low
F	30/09/1983	175	175	1983	9	30	1983	273	2	1981	23.0000	low
F	02/10/1983	189	185	1983	10	2	1983	275	4	1979	22.8742	low
F	03/10/1983	161	166	1983	10	3	1983	276	8	1975	19.1909	low
M	03/10/1983	160	160	1983	10	3	1983	276	1	1982	19.1909	low
F	05/10/1983	190	192	1983	10	5	1983	278	4	1979	21.0319	low
F	07/10/1983	165	170	1983	10	7	1983	280	6	1977	23.7957	low
F	07/10/1983	191	193	1983	10	7	1983	280	5	1978	21.9529	low
M	09/10/1983	238	237	1983	10	9	1983	282	5	1978	33.0230	low
F	10/10/1983	200	205	1983	10	10	1983	283	6	1977	27.0000	low
F	12/10/1983	205	207	1983	10	12	1983	285	10	1973	18.2708	low
F	12/10/1983	165	165	1983	10	12	1983	285	8	1975	22.0000	low
M	12/10/1983	215	215	1983	10	12	1983	285	7	1976	32.0993	low
F	16/10/1983	108	109	1983	10	16	1983	289	1	1982	15.5125	low
F	17/10/1983	175	180	1983	10	17	1983	290	5	1978	21.9529	low
F	17/10/1983	165	167	1983	10	17	1983	290	5	1978	21.9529	low
M	19/10/1983	222	219	1983	10	19	1983	292	10	1973	34.8708	low
M	19/10/1983	225	230	1983	10	19	1983	292	6	1977	27.0000	low
F	22/10/1983	204	208	1983	10	22	1983	295	9	1974	24.0000	low
M	22/10/1983	215	220	1983	10	22	1983	295	3	1980	31.0000	low
M	22/10/1983	172	174	1983	10	22	1983	295	2	1981	23.7957	low
F	23/10/1983	153	154	1983	10	23	1983	296	2	1981	22.0000	low
F	24/10/1983	183	185	1983	10	24	1983	297	8	1975	28.0000	low
M	27/10/1983	196	197	1983	10	27	1983	300	2	1981	28.4067	low
F	27/10/1983	137	139	1983	10	27	1983	300	1	1982	25.6394	low
F	28/10/1983	192	195	1983	10	28	1983	301	2	1981	24.7174	low
F	28/10/1983	169	175	1983	10	28	1983	301	2	1981	20.1113	low
M	29/10/1983	192	192	1983	10	29	1983	302	2	1981	23.0000	low
M	30/10/1983	194	196	1983	10	30	1983	303	1	1982	18.2708	low
M	30/10/1983	170	170	1983	10	30	1983	303	1	1982	19.1909	low
M	01/11/1983	228	226	1983	11	1	1983	305	4	1979	27.0000	low
M	03/11/1983	210	210	1983	11	3	1983	307	4	1979	28.9936	low
M	11/11/1983	188	180	1983	11	11	1983	315	1	1982	20.1113	low
F	14/11/1983	243	249	1983	11	14	1983	318	7	1976	16.4316	low
M	16/11/1983	185	182	1983	11	16	1983	320	1	1982	20.0000	low
F	19/11/1983	191	192	1983	11	19	1983	323	11	1972	21.0319	low
M	20/11/1983	192	192	1983	11	20	1983	324	2	1981	21.0000	low
F	03/12/1983	190	186	1983	12	3	1983	337	6	1977	20.1113	low
M	03/12/1983	190	190	1983	12	3	1983	337	3	1980	20.1113	low
F	03/12/1983	142	142	1983	12	3	1983	337	2	1981	19.1909	low
M	04/12/1983	212	212	1983	12	4	1983	338	3	1980	21.0319	low
F	17/12/1983	134	135	1983	12	17	1983	351	1	1982	16.4316	low
F	27/12/1983	195	195	1983	12	27	1983	361	11	1972	21.0319	low
F	01/01/1984	190	185	1983	1	1	1984	366	4	1979	25.0000	low
F	09/09/1984	165	162	1984	9	9	1984	252	6	1978	23.0000	low
F	09/09/1984	155	155	1984	9	9	1984	252	2	1982	20.1113	low
M	09/09/1984	221	219	1984	9	9	1984	252	2	1982	23.7957	low
M	09/09/1984	156	162	1984	9	9	1984	252	1	1983	17.3510	low
M	09/09/1984	203	203	1984	9	9	1984	252	1	1983	22.0000	low
M	09/09/1984	178	175	1984	9	9	1984	252	1	1983	21.0319	low
F	12/09/1984	179	181	1984	9	12	1984	255	9	1975	16.4316	low
M	12/09/1984	230	225	1984	9	12	1984	255	3	1981	29.3296	low
M	12/09/1984	222	226	1984	9	12	1984	255	2	1982	29.0000	low
M	12/09/1984	213	216	1984	9	12	1984	255	2	1982	30.2526	low
M	12/09/1984	146	147	1984	9	12	1984	255	1	1983	19.0000	low
F	12/09/1984	136	134	1984	9	12	1984	255	1	1983	17.3510	low
F	13/09/1984	170	170	1984	9	13	1984	256	4	1980	21.9529	low
M	13/09/1984	213	220	1984	9	13	1984	256	3	1981	31.1759	low
M	13/09/1984	160	158	1984	9	13	1984	256	1	1983	18.2708	low
F	15/09/1984	158	160	1984	9	15	1984	258	2	1982	17.3510	low
F	16/09/1984	168	159	1984	9	16	1984	259	2	1982	19.1909	low
M	16/09/1984	200	202	1984	9	16	1984	259	2	1982	27.0000	low
F	16/09/1984	178	177	1984	9	16	1984	259	2	1982	20.0000	low
M	19/09/1984	213	215	1984	9	19	1984	262	2	1982	25.0000	low
M	19/09/1984	220	219	1984	9	19	1984	262	2	1982	26.0000	low
M	19/09/1984	170	172	1984	9	19	1984	262	1	1983	21.0319	low
F	19/09/1984	140	145	1984	9	19	1984	262	1	1983	23.0000	low
F	21/09/1984	185	182	1984	9	21	1984	264	10	1974	19.1909	low
F	21/09/1984	193	190	1984	9	21	1984	264	9	1975	22.8742	low
M	22/09/1984	198	187	1984	9	22	1984	265	5	1979	31.1759	low
M	23/09/1984	220	218	1984	9	23	1984	266	3	1981	32.0000	low
F	23/09/1984	135	137	1984	9	23	1984	266	1	1983	17.8108	low
F	24/09/1984	187	193	1984	9	24	1984	267	11	1973	23.7957	low
F	24/09/1984	222	219	1984	9	24	1984	267	10	1974	21.0319	low
F	24/09/1984	184	177	1984	9	24	1984	267	9	1975	22.8742	low
F	24/09/1984	185	189	1984	9	24	1984	267	3	1981	19.1909	low
M	26/09/1984	199	202	1984	9	26	1984	269	3	1981	19.5000	low
M	26/09/1984	230	230	1984	9	26	1984	269	2	1982	27.4840	low
F	26/09/1984	150	145	1984	9	26	1984	269	1	1983	21.9529	low
M	27/09/1984	217	216	1984	9	27	1984	270	7	1977	30.0000	low
M	27/09/1984	182	183	1984	9	27	1984	270	4	1980	22.8742	low
M	27/09/1984	150	147	1984	9	27	1984	270	1	1983	19.0000	low
F	28/09/1984	168	168	1984	9	28	1984	271	5	1979	21.0319	low
F	29/09/1984	193	193	1984	9	29	1984	272	3	1981	25.6394	low
M	29/09/1984	187	193	1984	9	29	1984	272	2	1982	23.7957	low
M	30/09/1984	193	190	1984	9	30	1984	273	2	1982	29.3296	low
F	30/09/1984	126	129	1984	9	30	1984	273	1	1983	20.5000	low
F	01/10/1984	190	170	1984	10	1	1984	274	9	1975	24.0000	low
F	01/10/1984	217	214	1984	10	1	1984	274	9	1975	24.2565	low
F	01/10/1984	177	172	1984	10	1	1984	274	7	1977	20.1113	low
M	01/10/1984	207	209	1984	10	1	1984	274	3	1981	27.0228	low
F	04/10/1984	145	148	1984	10	4	1984	277	1	1983	19.1909	low
F	05/10/1984	201	202	1984	10	5	1984	278	9	1975	21.4924	low
M	07/10/1984	210	210	1984	10	7	1984	280	4	1980	25.6394	low
F	08/10/1984	202	206	1984	10	8	1984	281	8	1976	17.0000	low
F	08/10/1984	185	185	1984	10	8	1984	281	6	1978	20.8299	low
M	11/10/1984	215	210	1984	10	11	1984	284	3	1981	28.0000	low
M	15/10/1984	222	219	1984	10	15	1984	288	4	1980	27.0228	low
F	18/10/1984	163	165	1984	10	18	1984	291	10	1974	20.8299	low
M	22/10/1984	170	170	1984	10	22	1984	295	2	1982	20.8299	low
F	24/10/1984	203	203	1984	10	24	1984	297	7	1977	23.7957	low
F	24/10/1984	215	210	1984	10	24	1984	297	7	1977	25.6394	low
M	24/10/1984	200	204	1984	10	24	1984	297	4	1980	22.8742	low
F	24/10/1984	210	220	1984	10	24	1984	297	2	1982	20.1113	low
F	25/10/1984	200	200	1984	10	25	1984	298	6	1978	27.0228	low
M	28/10/1984	206	207	1984	10	28	1984	301	2	1982	23.7957	low
M	28/10/1984	218	213	1984	10	28	1984	301	2	1982	28.4067	low
M	03/11/1984	203	214	1984	11	3	1984	307	4	1980	25.0000	low
F	04/11/1984	182	185	1984	11	4	1984	308	3	1981	21.0319	low
F	08/11/1984	202	185	1984	11	8	1984	312	7	1977	15.5125	low
M	11/11/1984	130	135	1984	11	11	1984	315	2	1982	18.2708	low
F	11/11/1984	144	145	1984	11	11	1984	315	1	1983	21.0000	low
F	17/11/1984	185	187	1984	11	17	1984	321	6	1978	20.0000	low
F	18/11/1984	195	200	1984	11	18	1984	322	9	1975	23.7957	low
F	24/11/1984	212	212	1984	11	24	1984	328	7	1977	27.4840	low
