"table","pop","sp","treat","plant","GAD","ASD","GSD","GA","UBW","UBL","LBL","LBW"
3,"PM","L","W","PM.W.1.14",5.97,4.65,6.26,4.76,25.7,19.98,23.54,24.13
3,"PM","L","W","PM.W.1.14",6.4,3.52,4.64,3.72,17.55,15.88,15.89,15.06
3,"PM","L","D","PM.W.1.14",4.34,3.24,4.34,3.48,15.85,14.13,15.03,15.4
3,"PM","L","D","PM.W.1.14",4.72,4.23,2.6,3.3,14.49,13.27,14.43,14.56
4,"PM","L","D","PM.W.1.15",5.55,1.88,4.3,3.76,18.05,16.66,19.01,18.95
4,"PM","L","D","PM.W.1.15",3.79,2.5,3.27,3.64,15.66,13.53,15.09,14.22
4,"PM","L","W","PM.W.1.15",5.34,2.8,5.08,3.9,21.77,20.57,22.27,22.24
4,"PM","L","W","PM.W.1.15",5.18,1.96,5.67,3.35,19.66,21.26,24.39,23.35
2,"PM","L","D","PM.W.1.16",5.01,3.59,5.05,3.53,18.09,16.52,16.87,17.77
2,"PM","L","D","PM.W.1.16",5.72,3.89,4.26,4.2,19.96,19.26,17.91,18.61
2,"PM","L","W","PM.W.1.16",5.3,4.02,3.87,4.39,20.64,19.85,22.42,21.31
2,"PM","L","W","PM.W.1.16",6.72,2.18,6.28,4.94,29.31,27.43,30.75,29.98
4,"PM","L","D","PM.W.1.17",4.11,2.62,3.09,3.79,16.68,15.27,16.26,15.73
4,"PM","L","D","PM.W.1.17",5.26,4.4,3.34,3.45,16.59,13.81,15.31,17.07
4,"PM","L","W","PM.W.1.17",6.34,4.65,6.32,4.94,28.84,25.71,27.74,30.37
4,"PM","L","W","PM.W.1.17",NA,NA,NA,NA,NA,NA,NA,NA
4,"PM","L","D","PM.W.1.18",6.42,3.28,4.57,3.26,22.32,22.8,23.55,22.37
4,"PM","L","D","PM.W.1.18",5.84,3.25,3.6,4.28,21.71,20.58,22.92,21.64
4,"PM","L","W","PM.W.1.18",6.85,4.58,5.81,4.86,29.28,26.94,29.86,28.88
4,"PM","L","W","PM.W.1.18",4.82,3.58,4.33,3.76,19.64,19.52,18.03,18.81
1,"PM","L","W","PM.W.1.19",NA,NA,NA,NA,NA,NA,NA,NA
1,"PM","L","W","PM.W.1.19",NA,NA,NA,NA,NA,NA,NA,NA
1,"PM","L","D","PM.W.1.19",4.87,2.36,3.78,2.98,15.98,15.58,15.2,15.35
1,"PM","L","D","PM.W.1.19",5.48,3.72,3.35,3.4,14.64,15.89,15.55,14.8
2,"PM","L","D","PM.W.1.20",3.22,2.6,3.23,3.42,16.63,14.09,16.52,17.61
2,"PM","L","D","PM.W.1.20",3.23,2.61,2.92,3,13.7,13.67,16.3,14.88
2,"PM","L","W","PM.W.1.20",7.06,3.51,6.28,4.3,27.61,26.85,28.8,31.16
2,"PM","L","W","PM.W.1.20",5.63,2.12,4.35,3.07,22.59,19.84,23.86,23.56
1,"PM","L","W","PM.W.1.21",6.07,3.63,4.73,3.8,18.75,20.71,22.09,19.69
1,"PM","L","W","PM.W.1.21",7.27,2.65,6,4.57,24.61,21.32,24.73,24.95
1,"PM","L","D","PM.W.1.21",4.08,4.23,2.86,2.72,11.15,11.57,11.84,11.31
1,"PM","L","D","PM.W.1.21",3.58,1.92,3.19,2.55,10.97,12.67,13.52,11.86
4,"PM","L","D","PM.W.1.22",4.99,4.8,2.99,3.38,13.04,12.43,13.65,13.35
4,"PM","L","D","PM.W.1.22",4.89,4.14,3.08,2.82,13.85,11.93,13.2,13.4
4,"PM","L","W","PM.W.1.22",6.1,4.87,5.48,4.14,25.04,23.93,26.15,25.1
4,"PM","L","W","PM.W.1.22",NA,NA,NA,NA,NA,NA,NA,NA
2,"PM","L","D","PM.W.1.23",NA,NA,NA,NA,NA,NA,NA,NA
2,"PM","L","D","PM.W.1.23",NA,NA,NA,NA,NA,NA,NA,NA
2,"PM","L","W","PM.W.1.23",5.62,2.61,5.24,3.97,22,19.15,20.65,21.65
2,"PM","L","W","PM.W.1.23",5.08,1.87,4.47,3.67,19.4,17.95,18.69,17.56
4,"PM","L","D","PM.W.1.24",5.74,3.3,3.38,3.7,20.59,17.48,19.32,21.24
4,"PM","L","D","PM.W.1.24",5.3,2.87,3.52,3.19,16.47,14.25,16.6,16.7
4,"PM","L","W","PM.W.1.24",6.36,3.53,5.09,4.28,24.62,23.93,26.03,25.41
4,"PM","L","W","PM.W.1.24",4.8,3.36,3.96,3.76,20.5,22.38,25.34,23.6
1,"PM","L","W","PM.W.1.25",NA,NA,NA,NA,NA,NA,NA,NA
1,"PM","L","W","PM.W.1.25",NA,NA,NA,NA,NA,NA,NA,NA
1,"PM","L","D","PM.W.1.25",5.64,2.4,4.62,3.76,19.8,18.11,20.74,21.05
1,"PM","L","D","PM.W.1.25",4.73,3.04,3.63,3.89,16.34,16.53,17.68,16.43
1,"PM","L","W","PM.W.1.26",6.67,1.17,6.12,4.6,25.4,23.45,25.06,24.33
1,"PM","L","W","PM.W.1.26",5.37,2.08,5.35,4.88,23.69,21.56,21.99,22.56
1,"PM","L","D","PM.W.1.26",5.23,3.64,4.03,3.44,18.72,16.46,17.76,17.54
1,"PM","L","D","PM.W.1.26",4.84,3.13,4.36,3.45,16.11,14.88,15.29,15.26
1,"T","L","W","51.W.1.00",4.31,3.52,3.31,3.41,20.42,19.4,22.74,21
1,"T","L","W","51.W.1.00",4.72,2.03,4.25,3.93,19.11,18.39,20.95,20.22
1,"T","L","D","51.W.1.00",4.25,2.44,3.89,3.18,15.12,13.12,14.86,15.26
1,"T","L","D","51.W.1.00",4.04,3.08,3.6,3.19,17.37,14.76,17.06,17.18
3,"T","L","W","51.W.1.01",4.26,2.52,4.85,3.68,21.23,19.13,19.52,20.94
3,"T","L","W","51.W.1.01",5.5,3.59,5.85,4.3,23.59,19.05,20.37,23.38
3,"T","L","D","51.W.1.01",4.08,2.34,4.29,3.71,16.6,12.81,15.75,16.97
3,"T","L","D","51.W.1.01",2.92,2.45,2.81,2.9,13.87,13.57,15.34,16.5
4,"T","L","D","51.W.1.02",4.16,3.32,3.69,3.51,14.83,12.88,13.23,13.83
4,"T","L","D","51.W.1.02",4.2,2.35,4.59,4.19,18.58,14.78,16.05,19.83
4,"T","L","W","51.W.1.02",5.93,2.43,5.81,4.87,24.93,16.69,22.5,26.83
4,"T","L","W","51.W.1.02",5.61,1.81,5.6,3.98,24.94,18.92,20.29,22.69
4,"T","L","D","51.W.1.03",5.33,2.96,6.35,4.67,25.43,20.4,22.02,25.71
4,"T","L","D","51.W.1.03",5.4,2.66,6.13,5.46,25.27,18.96,20.47,27.43
4,"T","L","W","51.W.1.03",5.48,3.32,7.48,5.78,29.71,21.92,24.96,30.03
4,"T","L","W","51.W.1.03",5.95,1.51,6.26,5.08,32.95,25.43,29.74,32.39
1,"T","L","W","51.W.1.04",5.33,2.76,5.88,4.75,27.09,22.03,26.43,26.86
1,"T","L","W","51.W.1.04",5.61,4.14,4.99,4.12,21.94,18.68,19.49,20.9
1,"T","L","D","51.W.1.04",4.65,2.24,4.12,3.45,18.87,15.19,17.63,19.5
1,"T","L","D","51.W.1.04",4.46,3.97,3.35,3.32,19.29,17.88,18.16,18.13
2,"T","L","D","51.W.1.05",4.51,1.91,4.73,3.8,20.66,15.94,18.74,20.91
2,"T","L","D","51.W.1.05",5.45,3.36,5.56,4.09,20.16,14.7,18.56,20.2
2,"T","L","W","51.W.1.05",5.08,3.67,6.15,3.01,22.08,19.68,22.6,24.26
2,"T","L","W","51.W.1.05",5.33,2.68,5.86,3.74,23,18.65,21.46,22.48
2,"T","L","D","51.W.1.06",5.11,3.25,4.98,4.06,20.67,17.33,19,19.9
2,"T","L","D","51.W.1.06",5.02,3.1,3.88,4.45,18.03,14.99,16.55,18.29
2,"T","L","W","51.W.1.06",5.63,3.02,5.14,3.53,21.8,19.43,23.89,23.41
2,"T","L","W","51.W.1.06",NA,NA,NA,NA,NA,NA,NA,NA
4,"T","L","D","51.W.1.07",4.96,4.16,5.18,4.17,21.61,17.32,18.47,22.27
4,"T","L","D","51.W.1.07",5,2.54,4.67,3.77,18.06,14.64,17.26,18.95
4,"T","L","W","51.W.1.07",5.41,3.83,5.7,4.81,23.44,18.74,22.97,25.88
4,"T","L","W","51.W.1.07",5.62,1.95,5.28,3.98,21.36,18.53,19.25,20.7
3,"T","L","W","51.W.1.08",5.13,2.9,5.5,4.09,22.66,19.87,22.22,23.18
3,"T","L","W","51.W.1.08",5,1.7,5.53,4.39,23.47,19.84,23.21,25.15
3,"T","L","D","51.W.1.08",5.14,4.08,3.94,3.9,17,14.6,15.35,15.02
3,"T","L","D","51.W.1.08",5.78,2.92,3.54,3.25,18.76,17.28,19.6,20.51
2,"T","L","D","51.W.1.09",4.05,2.75,4.09,3.21,17.45,17.3,20.77,18.83
2,"T","L","D","51.W.1.09",4.55,2.89,4.4,3.7,17.91,15.33,17.08,19.6
2,"T","L","W","51.W.1.09",5.31,2.56,4.23,3.58,20.51,18.99,21.18,20.77
2,"T","L","W","51.W.1.09",5.82,2.38,5.25,4.34,20.69,20.55,22.78,21.88
1,"T","L","W","51.W.1.10",4.7,1.29,5.61,4.21,21.64,19.71,22.9,22.65
1,"T","L","W","51.W.1.10",3.76,2.88,5.34,4.51,19.95,15.88,17.77,18.84
1,"T","L","D","51.W.1.10",3.92,1.54,3.81,4.02,17.6,14.81,16.26,17.67
1,"T","L","D","51.W.1.10",3.09,2.42,3,3.45,14.78,12.17,15.01,14.54
3,"T","L","W","51.W.1.11",4.6,3.1,5,3.68,18.37,14.63,16.33,17.51
3,"T","L","W","51.W.1.11",5.45,2.15,6.06,3.98,20.56,18.38,20.89,21.83
3,"T","L","D","51.W.1.11",4.69,2.6,3.78,3.77,14.44,13.11,14.55,15.63
3,"T","L","D","51.W.1.11",3.66,3.16,3.52,3.77,14.58,12.23,12.95,14.29
1,"T","L","W","51.W.1.12",5.46,3.52,5.33,6.03,23.17,16.45,20.28,21.51
1,"T","L","W","51.W.1.12",5.83,1.87,6.09,4.91,21.99,20.38,22.96,23.81
1,"T","L","D","51.W.1.12",5.45,3.64,4.13,3.25,19.99,18.29,20.91,20.49
