table;pop;sp;treat;plant;GAD;ASD;MF;GSDr;GSDc;GSDl;GSD;GW;GHr;GHl;GA;UBW;UBL;LBW;LBL;UB;LB
3;V;S;W;V.W.1.02;3,35;0;10;4,65;3,9;3,44;4;5,97;2,3;2,22;3,67;21,63;20,78;24,14;22,48;21,2;23,3
3;V;S;W;V.W.1.02;3,1;0;10;3,82;2,73;3,15;3,23;4,83;2;1,75;3,01;17,24;16,26;19,64;18,63;16,74;19,13
3;V;S;D;V.W.1.02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;V;S;D;V.W.1.02;3,08;0;NA;3,15;4,15;3,51;3,60;5,29;2,27;2,08;3,39;16,29;15,49;16,06;16,66;15,88;16,36
1;V;S;W;V.W.1.04;2,51;0;9;5,54;4,79;5,01;5,11;6,12;1,87;1,92;3,41;25,68;22,91;28,12;25,45;24,26;26,75
1;V;S;W;V.W.1.04;2,71;0;9;2,72;4,85;3,37;3,65;5,72;1,65;1,64;3,07;20,92;18,49;23,07;21,1;19,67;22,06
1;V;S;D;V.W.1.04;2,82;0;10;3,59;3,46;2,35;3,13;4,5;1,59;1,56;2,66;15,71;14,42;16,08;13,83;15,05;14,91
1;V;S;D;V.W.1.04;2,69;0;NA;2,95;3,81;3,44;3,40;4,83;1,42;1,39;2,61;14,53;13,21;15,03;14,18;13,85;14,60
4;V;S;D;V.W.1.05;3,27;0;9;2,84;3,3;2,22;2,79;4,96;1,34;1,6;2,7;15,09;14,8;16,24;15,93;14,94;16,08
4;V;S;D;V.W.1.05;1,5;0,1;10;2,36;3,69;2,53;2,86;4,53;1,48;1,76;2,71;13,13;13,71;14,18;13,87;13,42;14,02
4;V;S;W;V.W.1.05;2,68;0;10;4,04;3,15;3,61;3,60;4,51;1,5;1,33;2,53;20,15;16,81;22,24;18,15;18,40;20,09
4;V;S;W;V.W.1.05;2,66;0;NA;1,7;2,66;2,62;2,33;5,08;1,69;1,57;2,88;19,29;17,07;18,96;18,5;18,15;18,73
2;V;S;D;V.W.1.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;V;S;D;V.W.1.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;V;S;W;V.W.1.06;2,68;0;10;3,55;3,65;3,67;3,62;6,08;2,06;2;3,51;22,01;20,21;21,3;21,05;21,09;21,17
2;V;S;W;V.W.1.06;3,44;0;NA;3,79;3,28;3,26;3,44;5,15;1,41;1,69;2,83;18,51;18,39;19,65;20,2;18,45;19,92
3;V;S;W;V.W.1.07;3,32;0,37;9;3,3;4,88;3,73;3,97;5,64;2,05;1,94;3,35;20,28;17,88;21,93;19,63;19,04;20,75
3;V;S;W;V.W.1.07;3,8;0;10;2,25;3,42;4,69;3,45;5,38;1,82;1,83;3,13;21,96;19,39;24,53;21,55;20,64;22,99
3;V;S;D;V.W.1.07;2,68;0;9;3,59;3,88;3,48;3,65;4,58;1,67;1,31;2,61;19,94;17,81;22,47;18,91;18,84;20,61
3;V;S;D;V.W.1.07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;V;S;W;V.W.1.08;3,17;0;9;4,88;4,72;3,44;4,35;5,31;1,91;1,72;3,1;19,57;18,54;20,12;18,8;19,05;19,45
1;V;S;W;V.W.1.08;3,47;0;10;3,89;4,85;3,14;3,96;5,22;1,91;1,59;3,02;20,04;18,19;20,38;20,34;19,09;20,36
1;V;S;D;V.W.1.08;2,66;0;10;2,75;3,48;2,89;3,04;3,42;1,12;1,25;2,01;11,06;10,02;11,28;10,86;10,53;11,07
1;V;S;D;V.W.1.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;V;S;W;V.W.1.09;3,26;0;10;4,48;4,32;4,82;4,54;5,44;1,79;1,69;3,08;18,76;18,87;19,95;20,93;18,81;20,43
3;V;S;W;V.W.1.09;2,21;0,31;10;4,87;6,72;5,44;5,68;5,38;1,66;1,86;3,08;20,49;20,58;22,75;22,72;20,53;22,73
3;V;S;D;V.W.1.09;2,79;0;10;3,39;3,87;3,88;3,71;4,48;1,26;1,05;2,27;14,41;13,65;14,74;14,1;14,02;14,42
3;V;S;D;V.W.1.09;3,62;0;NA;3,02;3,92;3,33;3,42;4;1,72;1,12;2,38;10,2;10,94;10,2;11,64;10,56;10,90
1;V;S;W;V.W.1.10;3;0;10;5,83;3,46;2,68;3,99;6,04;1,77;1,78;3,27;22,27;23,53;24,86;25,44;22,89;25,15
1;V;S;W;V.W.1.10;3,24;0;10;5,12;4,08;5,09;4,76;5,55;1,77;1,71;3,11;22,15;21,61;24,92;24,28;21,88;24,6
1;V;S;D;V.W.1.10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;V;S;D;V.W.1.10;2,94;0;NA;4,34;4,25;3,94;4,18;4,66;1,08;1,38;2,39;15,65;15,97;17,43;17,69;15,81;17,56
4;V;S;D;V.W.1.11;2,26;0,23;10;2,59;3;3,31;2,97;4,29;1,62;1,44;2,56;13,7;13,91;13,42;14,06;13,8;13,74
4;V;S;D;V.W.1.11;2,79;0;12;2,62;4,1;3,77;3,5;4,52;1,59;1,27;2,54;16,1;15,7;15,79;16,01;15,9;15,9
4;V;S;W;V.W.1.11;2,91;0;10;3,63;3,65;2,59;3,29;6,03;1,62;1,46;3,05;21,46;20,15;21,33;20,73;20,79;21,03
4;V;S;W;V.W.1.11;3,46;0,61;NA;2,7;2,75;2,66;2,70;3,87;1,37;1,44;2,33;14,62;15,75;14,66;15,76;15,17;15,20
4;V;S;D;V.W.1.12;3,33;0;10;4,1;4,6;4;4,23;4,73;1,38;1,66;2,68;17,78;17,85;17,97;20,01;17,81;18,96
4;V;S;D;V.W.1.12;3,4;0,4;9;2,42;3,09;2,91;2,81;4,37;1,35;1,56;2,52;11,69;11,92;13,45;14,62;11,8;14,02
4;V;S;W;V.W.1.12;3,78;0;10;3,28;4,97;3,22;3,82;5,36;1,51;1,42;2,80;21,92;21,76;22,79;21,95;21,84;22,37
4;V;S;W;V.W.1.12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;V;S;W;V.W.1.13;3,67;0;10;5,08;5,77;4,6;5,15;5,21;1,69;1,76;3;21,13;20,95;23,42;23,43;21,04;23,42
1;V;S;W;V.W.1.13;4,03;0;9;4,2;4,81;3,68;4,23;4,87;1,76;1,78;2,94;19,42;19,96;20,82;21,4;19,69;21,11
1;V;S;D;V.W.1.13;3,28;0;10;3,76;3,75;5,04;4,18;4,73;1,9;1,68;2,91;16,74;17,2;17,27;17,77;16,97;17,52
1;V;S;D;V.W.1.13;3,17;0;NA;4,82;4,22;2,81;3,95;5,02;2,14;1,49;3,02;17,35;17,35;17,09;17,83;17,35;17,46
2;V;S;D;V.W.1.14;3,23;0;10;3,88;4,58;3,93;4,13;5,02;1,71;1,6;2,88;17,71;17,71;17,44;18,89;17,71;18,15
2;V;S;D;V.W.1.14;3,75;0;10;3,53;4,91;3,76;4,07;5,03;2,06;2;3,2;17,08;16,45;17,7;17,68;16,76;17,69
2;V;S;W;V.W.1.14;3,44;0;10;4,04;3,55;3,03;3,54;5,01;1,57;1,88;2,94;21,3;19,42;20,74;20,9;20,34;20,82
2;V;S;W;V.W.1.14;1;0;NA;4,3;3,62;2,57;3,50;4,87;1,9;1,57;2,91;19,97;17,36;21,01;19,8;18,62;20,40
3;V;S;W;V.W.1.15;2,94;0;10;2,97;3,56;2,3;2,94;5,12;2,01;1,86;3,15;18,02;17,9;18,91;19,89;17,96;19,39
3;V;S;W;V.W.1.15;3,4;0,51;10;2,9;4,31;3,28;3,5;5,5;1,84;2,02;3,26;16,02;16,72;16,82;15,61;16,37;16,2
3;V;S;D;V.W.1.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;V;S;D;V.W.1.15;2,92;0;NA;3,04;4,1;2,02;3,05;4,26;1,43;1,86;2,65;14,6;13,44;15,26;14,9;14,01;15,08
2;V;S;D;V.W.1.16;2,33;0;10;2,49;3,35;2,57;2,8;5,34;1,72;1,97;3,14;16,21;16,31;16,48;16,27;16,26;16,37
2;V;S;D;V.W.1.16;2,71;1,61;10;2,41;2,42;2,66;2,5;4,9;1,96;1,83;3,05;13,71;14,05;13,63;13,9;13,88;13,76
2;V;S;W;V.W.1.16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;V;S;W;V.W.1.16;3,07;0;NA;3,55;3,23;2,17;2,98;4,65;2,12;1,82;3,03;17,27;17,11;18;18,05;17,19;18,02
4;V;S;D;V.W.1.17;2,69;0;9;3,37;3,81;3,3;3,49;4,71;1,53;1,73;2,77;14,95;16,27;17,28;15,7;15,6;16,47
4;V;S;D;V.W.1.17;2,5;0;8;3,48;3,17;2,83;3,16;4,76;1,55;0,93;2,43;15,65;14,51;14,61;15,46;15,07;15,03
4;V;S;W;V.W.1.17;2,15;0,32;10;3,65;4,55;3,21;3,80;5,24;1,65;1,41;2,83;18,64;15;18,85;16,28;16,72;17,52
4;V;S;W;V.W.1.17;3,09;0;NA;3,44;3,5;2,91;3,28;5,16;1,82;1,93;3,11;18,19;16,85;19,75;18,34;17,51;19,03
1;V;S;W;V.W.1.18;2,91;0;9;2,77;3,81;3,66;3,41;5,88;1,99;1,89;3,38;20,57;19,39;23,87;21,83;19,97;22,83
1;V;S;W;V.W.1.18;3,72;0;10;3,05;3,9;3,08;3,34;4,87;1,5;1,6;2,75;17;16,84;19,13;18,94;16,92;19,03
1;V;S;D;V.W.1.18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;V;S;D;V.W.1.18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;V;S;W;V.W.1.19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;V;S;W;V.W.1.19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;V;S;D;V.W.1.19;3,21;0;10;2,98;3,56;2,67;3,07;5,28;1,66;1,34;2,81;13,9;12,95;16,17;14,36;13,42;15,24
3;V;S;D;V.W.1.19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
