"pop","mother","crossID","blocktray","timetosowing","MCseed","nseed","germ2"
"CC","CC6","CC6xhd","T9_2",159,-0.508225108225106,2,1
"CC","CC7","CC7sld","T3_2",147,0.491774891774894,2,0.5
"CC","CC7","CC7shd","T8_2",135,-0.00822510822510628,2,0
"CC","CC7","CC7xld","T9_2",160,1.7917748917749,2,0
"CC","CC7","CC7xhd","T2_2",135,-0.208225108225102,2,0
"CC","CC9","CC9sld","T4_2",135,2.99177489177489,2,1
"CC","CC9","CC9shd","T3_2",142,6.89177489177489,2,1
"CC","CC9","CC9xld","T1_2",127,2.7917748917749,2,1
"CC","CC9","CC9xhd","T4_2",132,5.2917748917749,2,1
"CC","CC10","CC10sld","T3_2",142,1.2917748917749,2,1
"CC","CC10","CC10shd","T7_2",139,1.5917748917749,2,1
"CC","CC10","CC10xld","T9_2",118,-0.608225108225108,2,0.5
"CC","CC10","CC10xhd","T4_2",152,-0.808225108225103,2,1
"CC","CC11","CC11sld","T1_2",125,1.1917748917749,2,0
"CC","CC11","CC11shd","T4_2",138,1.49177489177489,2,0.5
"CC","CC11","CC11xld","T3_2",136,3.39177489177489,2,0.5
"CC","CC11","CC11xhd","T1_2",158,1.0917748917749,2,1
"CC","CC12","CC12sld","T6_2",141,3.2917748917749,2,0.5
"CC","CC12","CC12shd","T2_2",127,0.291774891774898,2,0.5
"CC","CC12","CC12xld","T7_2",142,6.6917748917749,2,1
"CC","CC12","CC12xhd","T8_2",162,4.89177489177489,2,0.5
"CC","CC13","CC13sld","T8_2",137,1.2917748917749,2,0
"CC","CC13","CC13shd","T7_2",139,-2.60822510822511,2,1
"CC","CC13","CC13xld","T9_2",157,0.0917748917748951,2,1
"CC","CC13","CC13xhd","T5_2",132,0.491774891774894,2,0
"CC","CC14","CC14sld","T8_2",169,4.99177489177489,2,1
"CC","CC14","CC14shd","T8_2",146,3.7917748917749,2,1
"CC","CC14","CC14xld","T1_2",163,3.1917748917749,2,1
"CC","CC14","CC14xhd","T3_2",159,2.2917748917749,2,1
"CC","CC15","CC15sld","T7_2",133,-4.8082251082251,2,1
"CC","CC15","CC15shd","T4_2",157,-5.4082251082251,2,1
"CC","CC15","CC15xld","T1_2",151,-3.9082251082251,2,1
"CC","CC15","CC15xhd","T1_2",122,-8.2082251082251,2,1
"CC","CC16","CC16sld","T9_2",132,6.89177489177489,2,0.5
"CC","CC16","CC16shd","T5_2",139,5.6917748917749,2,1
"CC","CC16","CC16xld","T9_2",157,6.2917748917749,2,0.5
"CC","CC16","CC16xhd","T4_2",139,8.49177489177489,2,0
"CC","CC17","CC17sld","T4_2",143,-3.3082251082251,2,1
"CC","CC17","CC17shd","T2_2",149,-5.00822510822511,2,1
"CC","CC17","CC17xld","T4_2",162,-4.2082251082251,2,1
"CC","CC17","CC17xhd","T4_2",133,-3.2082251082251,2,1
"CC","CC18","CC18sld","T9_2",124,2.1917748917749,2,0
