Year	Seeds	Corollalength	Corollawidth	Flowers
2012	23.00	27.60	3.40	39.00
2012	9.00	25.40	3.90	21.00
2012	113.00	27.90	3.40	131.00
2012	2.00	27.90	2.30	70.00
2012	35.00	27.60	3.40	68.00
2012	39.00	33.30	3.00	121.00
2012	48.00	26.00	3.10	71.00
2012	38.00	29.50	2.80	27.00
2012	143.00	18.80	2.80	152.00
2012	3.00	30.50	2.90	79.00
2012	9.00	19.90	2.50	38.00
2012	24.00	32.70	3.30	47.00
2012	24.00	22.00	2.50	69.00
2013	5.00	30.44	2.94	24.00
2013	68.00	35.20	3.50	98.00
2013	56.00	26.70	3.16	37.00
2013	97.00	28.43	3.43	58.00
2013	23.00	25.50	3.70	29.00
2013	8.00	32.75	3.28	36.00
2013	47.00	29.02	2.78	36.00
2013	57.00	27.38	3.70	64.00
2013	62.00	32.56	3.20	125.00
2013	49.00	33.38	3.60	144.00
2013	57.00	30.72	2.48	105.00
2013	130.00	26.93	3.14	192.00
2013	54.00	27.17	3.00	37.00
2013	56.00	34.86	3.64	30.00
2013	93.00	27.28	3.42	77.00
2013	92.00	26.50	3.80	38.00
2013	81.00	25.28	3.68	45.00
2013	0.00	26.50	3.76	20.00
2013	66.00	25.82	3.48	33.00
2013	127.00	22.54	3.38	35.00
2013	6.00	23.46	2.42	29.00
2013	5.00	28.20	2.40	28.00
2013	31.00	37.03	2.83	111.00
