Patry	Hostplant	Sex	BL	OL	Wing_length	Wing_width	Wing_area	Melanized_area	Melanization_ratio	Baltic
Sympatry	Oleraceum	Male	4.27	NA	4.762886598	2.06185567	7.6445956	3.717398236	48.62779446	West
Sympatry	Oleraceum	Female	3.79	1.48	4.505154639	2.020618557	7.051758954	3.183441386	45.14393369	West
Sympatry	Oleraceum	Male	4.01	NA	4.535353535	2.050505051	7.686766656	4.747780839	61.76564284	West
Sympatry	Oleraceum	Female	3.8	1.55	4.623762376	2.138613861	8.102048819	4.716792471	58.21728031	West
Sympatry	Oleraceum	Male	4.36	NA	4.785714286	1.969387755	7.211162016	3.711370262	51.46702091	West
Sympatry	Oleraceum	Female	4.75	1.59	5.051020408	2.214285714	8.898583923	4.32455227	48.59820739	West
Sympatry	Oleraceum	Male	3.73	NA	3.98989899	1.848484848	5.969901031	3.802469136	63.69400626	West
Sympatry	Oleraceum	Female	4.07	1.47	4.393939394	2.03030303	7.195286195	4.619834711	64.2064066	West
Sympatry	Oleraceum	Male	4.12	NA	4.303030303	2.04040404	7.268952148	4.956126926	68.18213719	West
Sympatry	Oleraceum	Female	3.85	1.56	4.574257426	2.118811881	7.973139888	4.913537888	61.62613421	West
Sympatry	Oleraceum	Female	4.39	NA	4.9	2.31	9.3196	5.525	59.28366024	West
Sympatry	Oleraceum	Male	4.25	NA	4.39	2.02	7.1726	4.3512	60.66419429	West
Sympatry	Oleraceum	Male	4.1	NA	4.97979798	2.111111111	8.283440465	4.956841139	59.84036657	West
Sympatry	Oleraceum	Female	4.42	1.56	4.979591837	2.326530612	9.353810912	5.876613911	62.82587884	West
Sympatry	Oleraceum	Male	3.89	NA	4.31	1.89	6.4181	3.9597	61.69582898	West
Sympatry	Oleraceum	Male	4.14	NA	4.542713568	2.120603015	7.65940254	4.623923638	60.369247	West
Sympatry	Oleraceum	Female	3.85	NA	4.87	2.17	8.4463	4.8826	57.80756071	West
Sympatry	Oleraceum	Male	3.76	NA	4.3	1.92	6.7613	4.4831	66.30529632	West
Sympatry	Oleraceum	Female	4.12	1.47	4.693069307	2.178217822	8.215273012	5.198313891	63.27621593	West
Sympatry	Oleraceum	Female	3.96	1.38	4.572916667	2	7.017578125	3.761176215	53.59649937	West
Sympatry	Oleraceum	Male	4.5	NA	4.78125	1.979166667	7.441948785	3.819986979	51.33046585	West
Sympatry	Oleraceum	Female	4.85	1.74	4.757894737	2.2	8.324542936	4.106814404	49.33381251	West
Sympatry	Oleraceum	Male	4.37	NA	4.7960199	2.139303483	8.243360313	4.424741962	53.67643526	West
Sympatry	Oleraceum	Female	3.99	1.39	4.264705882	2.029411765	7.075932334	4.144655902	58.57399006	West
Sympatry	Oleraceum	Female	4.32	1.47	4.5	2.104166667	7.435546875	3.899305556	52.4414091	West
Sympatry	Oleraceum	Male	3.97	NA	4.25	1.833333333	6.147243924	3.23969184	52.7015339	West
Sympatry	Oleraceum	Female	4.31	1.4	4.8	2.094736842	7.864376731	4.105484765	52.20356177	West
Sympatry	Oleraceum	Female	3.43	1.37	4.029126214	1.796116505	5.770195117	3.66368178	63.49320439	West
Sympatry	Oleraceum	Female	4.02	1.45	4.475247525	1.95049505	7.035486717	4.175669052	59.35153061	West
Sympatry	Oleraceum	Male	3.92	NA	4.381443299	1.835051546	6.288553513	3.65416091	58.10813095	West
Sympatry	Oleraceum	Female	4.67	1.64	4.572916667	2.177083333	7.956597222	4.282986111	53.82936941	West
Sympatry	Oleraceum	Female	4.56	1.53	4.896907216	2.288659794	8.96949729	4.666064406	52.02147072	West
Sympatry	Oleraceum	Male	4.03	NA	4	1.960199005	6.377762927	4.079106953	63.95827188	West
Sympatry	Oleraceum	Male	4.25	NA	4.489583333	1.979166667	6.931423611	3.829969618	55.25516594	West
Sympatry	Oleraceum	Female	4.74	1.76	4.513089005	2.240837696	8.10701461	4.542200049	56.02802348	West
Sympatry	Oleraceum	Male	4.21	NA	4.55721393	1.990049751	7.278235687	4.449592832	61.13559691	West
Sympatry	Oleraceum	Female	4.17	1.49	4.41	2.06	7.4561	4.8796	65.44440123	West
Sympatry	Oleraceum	Male	4.03	NA	4.097087379	1.980582524	6.966537845	4.340182864	62.30042756	West
Sympatry	Oleraceum	Male	4.54	NA	4.49	1.98	6.9565	3.7259	53.55997987	West
Sympatry	Oleraceum	Female	4.15	1.44	4.291666667	1.947916667	6.573133681	3.789279514	57.64799102	West
Sympatry	Oleraceum	Female	4.69	1.63	4.523076923	2.143589744	7.723760684	4.356923077	56.40934844	West
Sympatry	Oleraceum	Male	3.9	NA	4.254901961	1.980392157	6.937524029	4.392925798	63.32123362	West
Sympatry	Oleraceum	Female	4.29	1.62	5	2.195876289	8.678180466	4.48602402	51.69314048	West
Sympatry	Oleraceum	Male	4.43	NA	4.83	2.36	9.2021	5.1505	55.97091968	West
Sympatry	Oleraceum	Female	4.1	1.32	4.851485149	2.207920792	8.565140672	5.329771591	62.22631705	West
Sympatry	Oleraceum	Male	4.66	NA	4.551020408	2.06122449	7.387234486	3.847147022	52.07831198	West
Sympatry	Oleraceum	Female	4.73	1.58	4.745945946	2.12972973	7.918305332	4.108458729	51.88558102	West
Sympatry	Oleraceum	Male	4.2	NA	4.489361702	2.010638298	7.224875509	3.678134903	50.90931875	West
Sympatry	Oleraceum	Female	4.07	1.38	4.163265306	1.816326531	6.002082466	3.357975843	55.94684616	West
Sympatry	Oleraceum	Male	4.61	NA	4.305263158	2.073684211	7.009418283	3.724875346	53.14100537	West
Sympatry	Oleraceum	Female	3.93	1.36	4.259067358	1.865284974	6.1282719	2.833579425	46.23782155	West
